,id,date_cancelled,date_resumed
0,6865,2017-02-02 19:59:40.923552+00:00,
1,6295,2017-01-14 20:55:55.066405+00:00,
2,6212,2017-01-21 01:42:23.933287+00:00,
3,6213,2017-01-22 19:02:24.564828+00:00,
4,6215,2017-01-12 06:03:48.392932+00:00,
5,6217,2017-01-02 04:05:15.614471+00:00,
6,6219,2017-01-09 17:35:25.598314+00:00,
7,6220,2017-01-19 16:35:24.976285+00:00,
8,6221,2017-01-12 22:15:40.418929+00:00,
9,6227,2017-01-06 00:10:58.906277+00:00,
10,6230,2017-01-16 05:50:18.140090+00:00,
11,6234,2017-01-13 02:22:18.388877+00:00,
12,6236,2017-01-25 19:11:14.224132+00:00,
13,6241,2017-01-16 05:53:17.618422+00:00,
14,6243,2017-01-11 20:22:27.521453+00:00,
15,6251,2017-01-03 20:58:30.160175+00:00,
16,6255,2017-01-13 16:50:46.819330+00:00,
17,6260,2017-01-04 21:17:03.225444+00:00,
18,6266,2017-01-18 05:43:45.633120+00:00,
19,6267,2017-01-18 21:17:18.883022+00:00,
20,6279,2017-01-04 19:13:30.436527+00:00,
21,6290,2017-01-05 00:23:40.339489+00:00,
22,6293,2017-01-15 23:07:41.642815+00:00,
23,6303,2017-01-10 20:21:04.280661+00:00,
24,6308,2017-01-05 20:37:08.959249+00:00,
25,6309,2017-01-06 20:31:36.888647+00:00,
26,6315,2017-01-11 20:05:36.362304+00:00,
27,6265,2017-01-16 17:46:12.786694+00:00,2017-07-10 16:16:49.766172+00:00
28,6276,2017-01-10 18:28:54.627435+00:00,2019-01-29 23:20:08.257868+00:00
29,6278,2017-01-19 02:20:26.570038+00:00,2019-02-24 05:31:04.424245+00:00
30,6319,2017-01-06 04:12:17.561276+00:00,
31,6328,2017-01-09 21:54:17.545119+00:00,
32,6334,2017-01-10 04:21:29.428518+00:00,
33,6335,2017-01-07 00:32:27.927517+00:00,
34,6336,2017-01-21 09:21:00.915546+00:00,
35,6342,2017-01-07 16:17:11.309045+00:00,
36,6344,2017-01-13 02:32:24.089812+00:00,
37,6373,2017-01-16 18:05:35.047530+00:00,
38,6375,2017-01-16 18:05:17.926389+00:00,
39,6379,2017-01-10 04:21:02.110807+00:00,
40,6381,2017-01-22 02:22:28.178917+00:00,
41,6382,2017-01-21 17:12:44.667872+00:00,
42,6385,2017-01-10 03:51:50.859385+00:00,
43,6391,2017-01-09 05:45:40.883940+00:00,
44,6392,2017-01-15 16:42:29.395282+00:00,
45,6374,2017-01-25 20:12:43.459960+00:00,2017-02-04 04:43:00.391527+00:00
46,6383,2017-01-25 18:15:25.591983+00:00,2017-04-02 03:46:21.056223+00:00
47,6327,2017-01-10 16:30:43.733103+00:00,2017-06-15 20:03:47.496386+00:00
48,6330,2017-01-06 23:47:58.132897+00:00,2017-07-21 04:06:34.861179+00:00
49,6372,2017-01-19 08:59:57.285550+00:00,2017-11-18 11:28:21.159338+00:00
50,6396,2017-01-25 17:54:43.626652+00:00,
51,6398,2017-01-10 23:48:49.020097+00:00,
52,6400,2017-01-18 17:02:26.229765+00:00,
53,6404,2017-01-23 22:13:30.565591+00:00,
54,6412,2017-01-19 23:47:28.861618+00:00,
55,6417,2017-01-15 21:59:09.710033+00:00,
56,6428,2017-01-15 22:49:59.677418+00:00,
57,6430,2017-01-10 22:42:27.193463+00:00,
58,6434,2017-01-19 18:55:18.857196+00:00,
59,6443,2017-01-18 04:23:24.826121+00:00,
60,6445,2017-01-23 18:16:38.444738+00:00,
61,6450,2017-01-21 19:04:37.557610+00:00,
62,6451,2017-01-23 22:04:13.276434+00:00,
63,6514,2017-01-15 05:51:46.988425+00:00,
64,6416,2017-01-23 20:38:18.352970+00:00,2017-04-19 17:14:39.065969+00:00
65,6419,2017-01-23 20:38:33.053180+00:00,2017-04-19 17:15:12.373720+00:00
66,6456,2017-01-12 02:12:19.310996+00:00,
67,6457,2017-01-16 00:26:15.879142+00:00,
68,6466,2017-01-11 18:26:02.373197+00:00,
