,cohort,week,week_number,cohort_total,active_subs,active_percent
0,2016-12-26,2016-12-26,1,9,9,1.0
1,2016-12-26,2017-01-02,2,9,9,1.0
2,2016-12-26,2017-01-09,3,9,9,1.0
3,2016-12-26,2017-01-16,4,9,8,0.89
4,2016-12-26,2017-01-23,5,9,5,0.56
5,2016-12-26,2017-01-30,6,9,5,0.56
6,2016-12-26,2017-02-06,7,9,4,0.44
7,2016-12-26,2017-02-13,8,9,4,0.44
8,2016-12-26,2017-02-20,9,9,4,0.44
9,2016-12-26,2017-02-27,10,9,4,0.44
10,2016-12-26,2017-03-06,11,9,4,0.44
11,2016-12-26,2017-03-13,12,9,4,0.44
12,2016-12-26,2017-03-20,13,9,4,0.44
13,2016-12-26,2017-03-27,14,9,4,0.44
14,2016-12-26,2017-04-03,15,9,4,0.44
15,2016-12-26,2017-04-10,16,9,4,0.44
16,2016-12-26,2017-04-17,17,9,4,0.44
17,2016-12-26,2017-04-24,18,9,3,0.33
18,2016-12-26,2017-05-01,19,9,3,0.33
19,2016-12-26,2017-05-08,20,9,3,0.33
20,2016-12-26,2017-05-15,21,9,2,0.22
21,2016-12-26,2017-05-22,22,9,2,0.22
22,2016-12-26,2017-05-29,23,9,2,0.22
23,2016-12-26,2017-06-05,24,9,2,0.22
24,2016-12-26,2017-06-12,25,9,2,0.22
25,2016-12-26,2017-06-19,26,9,2,0.22
26,2016-12-26,2017-06-26,27,9,2,0.22
27,2016-12-26,2017-07-03,28,9,2,0.22
28,2016-12-26,2017-07-10,29,9,2,0.22
29,2016-12-26,2017-07-17,30,9,2,0.22
30,2016-12-26,2017-07-24,31,9,2,0.22
31,2016-12-26,2017-07-31,32,9,2,0.22
32,2016-12-26,2017-08-07,33,9,2,0.22
33,2016-12-26,2017-08-14,34,9,2,0.22
34,2016-12-26,2017-08-21,35,9,2,0.22
35,2016-12-26,2017-08-28,36,9,2,0.22
36,2016-12-26,2017-09-04,37,9,1,0.11
37,2016-12-26,2017-09-11,38,9,1,0.11
38,2016-12-26,2017-09-18,39,9,1,0.11
39,2016-12-26,2017-09-25,40,9,1,0.11
40,2016-12-26,2017-10-02,41,9,1,0.11
41,2016-12-26,2017-10-09,42,9,1,0.11
42,2016-12-26,2017-10-16,43,9,1,0.11
43,2016-12-26,2017-10-23,44,9,1,0.11
44,2016-12-26,2017-10-30,45,9,1,0.11
45,2016-12-26,2017-11-06,46,9,1,0.11
46,2016-12-26,2017-11-13,47,9,1,0.11
47,2016-12-26,2017-11-20,48,9,1,0.11
48,2016-12-26,2017-11-27,49,9,1,0.11
49,2016-12-26,2017-12-04,50,9,1,0.11
50,2017-01-02,2017-01-02,1,118,113,0.96
51,2017-01-02,2017-01-09,2,118,103,0.87
52,2017-01-02,2017-01-16,3,118,82,0.69
53,2017-01-02,2017-01-23,4,118,70,0.59
54,2017-01-02,2017-01-30,5,118,62,0.53
55,2017-01-02,2017-02-06,6,118,58,0.49
56,2017-01-02,2017-02-13,7,118,55,0.47
57,2017-01-02,2017-02-20,8,118,51,0.43
58,2017-01-02,2017-02-27,9,118,47,0.4
59,2017-01-02,2017-03-06,10,118,42,0.36
60,2017-01-02,2017-03-13,11,118,38,0.32
61,2017-01-02,2017-03-20,12,118,35,0.3
62,2017-01-02,2017-03-27,13,118,34,0.29
63,2017-01-02,2017-04-03,14,118,33,0.28
64,2017-01-02,2017-04-10,15,118,34,0.29
65,2017-01-02,2017-04-17,16,118,29,0.25
66,2017-01-02,2017-04-24,17,118,29,0.25
67,2017-01-02,2017-05-01,18,118,30,0.25
